Physiographic Division,Physiographic Province,State,USGS Station No.,Site Name,Coordinates,,Drainage Area,, Bankfull Discharge,,Bankfull Width,,Bankfull Depth,,Bankfull Area,,Source
Appalachian Highlands,Valley and Ridge,Pennsylvania,01613050,Tonoloway Creek near Needmore,39.898421,-78.132229,10.70,27.71,305.00,8.64,36.40,11.09,1.86,0.57,67.00,6.22,Chaplin 2005
Appalachian Highlands,Valley and Ridge,Maryland,01613150,Ditch Run near Hancock,39.691759,-78.132227,4.80,12.43,183.00,5.18,29.70,9.05,1.70,0.52,51.60,4.79,"McCandless 2003a, McCandless 2003b"
Appalachian Highlands,Valley and Ridge,Maryland,01613160,Potomac River Tribuatary near Hancock ,39.690926,-78.126949,1.20,3.11,57.00,1.61,9.90,3.02,1.00,0.30,9.70,0.90,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,01613900,Hogue Creek near Hayfield ,39.214548,-78.288059,15.90,41.18,629.00,17.81,43.80,13.35,2.70,0.82,118.00,10.96,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,West Virginia,01614000,Back Creek near Jones Springs,39.512042,-78.037222,235.00,608.65,3630.00,102.79,121.00,36.88,5.30,1.62,646.00,60.02,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Maryland,01617800,Marsh Run at Grimes ,39.514556,-77.777222,18.90,48.95,112.00,3.17,25.20,7.68,1.70,0.52,42.60,3.96,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Maryland,01619475,Dog Creek tributary at Locust Grove ,39.465933,-77.658324,0.10,0.26,13.50,0.38,8.70,2.65,0.50,0.15,4.50,0.42,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,01620500,North River near Stokesville ,38.335000,-79.239167,17.30,44.81,464.00,13.14,55.30,16.86,2.00,0.61,110.00,10.22,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,01624800,Christians Creek near Fisherville,38.128467,-78.994471,73.00,189.07,1580.00,44.74,63.80,19.45,5.10,1.55,325.00,30.19,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,01627500,South River at Harriston ,38.218742,-78.836692,212.00,549.08,3340.00,94.58,134.00,40.84,4.50,1.37,60.00,5.57,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,01632000,North Fork Shenandoah River at Cootes Store,38.637063,-78.852803,210.00,543.90,3700.00,104.77,149.00,45.42,5.60,1.71,832.00,77.30,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,01632082,Linville Creek at Broadway,38.606786,-78.803357,45.70,118.36,782.00,22.14,58.60,17.86,2.80,0.85,164.00,15.24,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,01632900,Smith Creek near New Market,38.693450,-78.642794,93.60,242.42,1350.00,38.23,91.50,27.89,4.70,1.43,431.00,40.04,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,01632970,Crooked Run near Mt. Jackson,38.762336,-78.684739,6.61,17.12,179.00,5.07,27.90,8.50,1.90,0.58,53.30,4.95,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,01633650,Pugh’s Run near Woodstock,38.930110,-78.545011,3.43,8.88,110.00,3.11,26.10,7.96,1.50,0.46,38.40,3.57,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,01634500,Cedar Creek near Winchester,39.081218,-78.329449,102.00,264.18,2650.00,75.04,102.00,31.09,5.30,1.62,459.00,42.64,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,01635500,Passage Creek near Buckton,38.958166,-78.266669,86.50,224.03,2110.00,59.75,78.00,23.77,4.30,1.31,336.00,31.22,Keaton et al. 2005
Appalachian Highlands,Piedmont,Maryland,01639140,Piney Creek at Taneytown,39.660750,-77.220972,31.30,81.07,1389.00,39.33,65.80,20.06,3.80,1.16,248.90,23.12,"McCandless and Everett 2002, McCandless 2003a, McCandless 2003b"
Appalachian Highlands,Piedmont,Maryland,01639500,Big Pipe Creek at Bruceville,39.612361,-77.237444,102.00,264.18,2658.00,75.27,86.20,26.27,6.00,1.83,518.70,48.19,"McCandless and Everett 2002, McCandless 2003a, McCandless 2003b, D84 from Cinotto 2003"
Appalachian Highlands,Piedmont,Maryland,01643500,Bennett Creek at Park Mills,39.294139,-77.407083,62.80,162.65,1867.00,52.87,83.20,25.36,4.80,1.46,398.00,36.98,"McCandless and Everett 2002, McCandless 2003a, McCandless 2003b"
Appalachian Highlands,Piedmont,Maryland,01645000,Seneca Creek at Dawsonville,39.128083,-77.335778,101.00,261.59,2562.00,72.55,66.80,20.36,6.00,1.83,401.40,37.29,"McCandless and Everett 2002, McCandless 2003a, McCandless 2003b"
Appalachian Highlands,Piedmont,Maryland,01650500,NW Branch Anacostia River near Colesville,39.065667,-77.029333,21.00,54.39,907.00,25.68,40.90,12.47,4.90,1.49,200.70,18.65,"McCandless and Everett 2002, McCandless 2003a, McCandless 2003b"
Atlantic Plain,Coastal Plain,Maryland,01658000,Mattawoman Creek near Pomonkey,38.596139,-77.056028,54.80,141.93,540.00,15.29,37.00,11.28,3.22,0.98,118.97,11.05,McCandless 2003b
Appalachian Highlands,Piedmont,Virginia,01658500,South Fork Quantico Creek near Independent Hill,38.587343,-77.428596,7.62,19.74,205.00,5.80,28.40,8.66,2.00,0.61,56.40,5.24,Lotspeich 2009
Appalachian Highlands,Piedmont,Virginia,01660000,South Branch Chopawamsic Creek near Garrisonville,38.539566,-77.424706,2.46,6.37,272.00,7.70,20.90,6.37,1.80,0.55,35.60,3.31,Lotspeich 2009
Appalachian Highlands,Piedmont,Virginia,01660400,Aquia Creek near Garrisonville,38.490401,-77.433594,35.00,90.65,1310.00,37.10,59.80,18.23,3.40,1.04,196.00,18.21,Lotspeich 2009
Atlantic Plain,Coastal Plain,Maryland,01661050,St. Clements Creek near Clements,38.333306,-76.725000,18.50,47.91,273.40,7.74,30.10,9.17,3.06,0.93,91.98,8.55,McCandless 2003b
Atlantic Plain,Coastal Plain,Maryland,01661430,Glebe Branch at Valley Lee,38.194571,-76.519955,0.30,0.78,11.91,0.34,7.40,2.26,0.72,0.22,5.29,0.49,McCandless 2003b
Atlantic Plain,Coastal Plain,Maryland,01661500,St. Mary's River at Great Mills,38.241750,-76.503667,24.00,62.16,464.90,13.16,38.80,11.83,3.13,0.95,121.46,11.28,McCandless 2003b
Atlantic Plain,Coastal Plain,Virginia,01661800,Bush Mill Stream near Heathsville,37.876801,-76.494675,6.77,17.53,49.80,1.41,23.30,7.10,2.50,0.76,58.30,5.42,Krstolic and Chaplin 2007
Atlantic Plain,Coastal Plain,Virginia,01668500,Cat Point Creek near Montross,38.039855,-76.826907,45.60,118.10,109.60,3.10,31.30,9.54,3.10,0.94,97.00,9.01,Krstolic and Chaplin 2007
Appalachian Highlands,Piedmont,Virginia,01670300,Contrary Creek near Mineral,38.064860,-77.878884,5.58,14.45,171.00,4.84,50.30,15.33,1.10,0.34,54.70,5.08,Lotspeich 2009
Appalachian Highlands,Piedmont,Virginia,01672400,South Anna River tributary no. 6 near Ashland,37.811253,-77.571931,0.33,0.85,20.00,0.57,9.05,2.76,0.60,0.18,5.75,0.53,Lotspeich 2009
Atlantic Plain,Coastal Plain,Virginia,01674200,Reedy Creek near Dawn,37.882084,-77.359425,17.50,45.32,116.00,3.28,25.90,7.89,2.00,0.61,50.50,4.69,Krstolic and Chaplin 2007
Atlantic Plain,Coastal Plain,Virginia,01674700,Aylett Creek at Aylett,37.784863,-77.106084,6.55,16.96,170.00,4.81,16.60,5.06,1.90,0.58,30.80,2.86,Krstolic and Chaplin 2007
Appalachian Highlands,Valley and Ridge,Virginia,02011400,Jackson River near Bacova,38.042347,-79.881444,157.00,406.63,2190.00,62.01,107.00,32.61,5.00,1.52,539.00,50.07,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,02013000,Dunlap Creek near Covington,37.802902,-80.047004,162.00,419.58,2880.00,81.55,117.00,35.66,4.80,1.46,565.00,52.49,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,02014000,Potts Creek near Covington,37.729014,-80.042280,153.00,396.27,2380.00,67.39,117.00,35.66,5.00,1.52,555.00,51.56,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,02015600,Cowpasture River near Head Waters,38.325124,-79.436987,11.20,29.01,143.00,4.05,35.60,10.85,1.40,0.43,50.20,4.66,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,02015700,Bullpasture River at Williamsville,38.195403,-79.570323,110.00,284.90,2250.00,63.71,92.40,28.16,3.70,1.13,338.00,31.40,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,02018500,Catawba Creek near Catawba,37.468186,-80.005322,34.30,88.84,1050.00,29.73,56.60,17.25,2.30,0.70,137.00,12.73,Keaton et al. 2005
Appalachian Highlands,Piedmont,Virginia,02027700,Buffalo River tributary near Amherst,37.562642,-78.959466,0.45,1.17,27.00,0.76,11.30,3.44,0.60,0.18,6.94,0.64,Lotspeich 2009
Appalachian Highlands,Piedmont,Virginia,02031000,Mechums River near White Hall,38.102636,-78.592794,95.30,246.83,4150.00,117.51,91.70,27.95,6.70,2.04,617.00,57.32,Lotspeich 2009
Appalachian Highlands,Piedmont,Virginia,02032640,North Fork Rivanna River near Earlysville,38.163467,-78.424732,108.00,279.72,3550.00,100.52,96.40,29.38,6.10,1.86,597.00,55.46,Lotspeich 2009
Appalachian Highlands,Piedmont,Virginia,02035400,Big Lickinghole Creek tributary near Ferncliff,37.826255,-77.972775,0.54,1.40,12.00,0.34,6.45,1.97,0.50,0.15,3.23,0.30,Lotspeich 2009
Appalachian Highlands,Piedmont,Virginia,02036500,Fine Creek at Fine Creek Mills,37.597925,-77.819718,22.40,58.02,853.00,24.15,45.50,13.87,2.50,0.76,115.00,10.68,Lotspeich 2009
Appalachian Highlands,Piedmont,Virginia,02038845,North Holiday Creek near Toga,37.435979,-78.667508,1.35,3.50,31.00,0.88,9.38,2.86,1.00,0.30,9.08,0.84,Lotspeich 2009
Appalachian Highlands,Piedmont,Virginia,02039000,Buffalo Creek near Hampden Sydney,37.257097,-78.486384,69.60,180.26,1160.00,32.85,45.30,13.81,3.30,1.01,147.00,13.66,Lotspeich 2009
Atlantic Plain,Coastal Plain,Virginia,02042250,Bailey Branch tributary at Spring Grove,37.174871,-76.986632,0.55,1.42,48.00,1.36,10.30,3.14,1.30,0.40,13.40,1.24,Krstolic and Chaplin 2007
Atlantic Plain,Coastal Plain,Virginia,02042710,Collins Run tributary near Providence Forge,37.404314,-77.046913,0.32,0.83,19.50,0.55,7.70,2.35,0.80,0.24,6.20,0.58,Krstolic and Chaplin 2007
Appalachian Highlands,Piedmont,Virginia,02044200,Falls Creek tributary near Victoria,37.034596,-78.173610,0.37,0.96,34.00,0.96,9.60,2.93,1.10,0.34,10.20,0.95,Lotspeich 2009
Appalachian Highlands,Piedmont,Virginia,02050500,North Meherrin River near Keysville,37.051540,-78.421940,9.06,23.47,303.00,8.58,29.20,8.90,2.10,0.64,60.60,5.63,Lotspeich 2009
Atlantic Plain,Coastal Plain,North Carolina,02053500,Ahoskie Creek at Ahoskie,36.280278,-76.999444,63.30,163.95,166.10,4.70,46.90,14.30,4.00,1.22,187.60,17.43,Sweet and Geratz 2003
Appalachian Highlands,Valley and Ridge,Virginia,02053800,South Fork Roanoke River near Shawsville,37.140132,-80.266433,109.00,282.31,2390.00,67.68,113.00,34.44,4.60,1.40,519.00,48.22,Keaton et al. 2005
Appalachian Highlands,Valley and Ridge,Virginia,02055100,Tinker Creek near Daleville,37.417633,-79.935319,11.70,30.30,266.00,7.53,38.60,11.77,2.40,0.73,90.80,8.44,Keaton et al. 2005
Appalachian Highlands,Piedmont,Virginia,02071530,Smith River at Smith River Church near Woolwine,36.778468,-80.249218,26.30,68.12,1140.00,32.28,68.60,20.91,2.50,0.76,172.00,15.98,Lotspeich 2009
Appalachian Highlands,Piedmont,Virginia,02074500,Sandy River near Danville,36.619583,-79.504193,111.00,287.49,6980.00,197.65,135.00,41.15,5.40,1.65,725.00,67.35,Lotspeich 2009
Appalachian Highlands,Piedmont,North Carolina,02075160,Moon Creek near Yanceyville,36.470417,-79.384466,32.80,84.95,708.80,20.07,33.00,10.06,4.90,1.49,162.00,15.05,Harman et al. xxxxa
Appalachian Highlands,Piedmont,Virginia,02075350,Powells Creek near Turbeville,36.580695,-79.188628,0.29,0.75,10.00,0.28,7.85,2.39,0.50,0.15,4.15,0.39,Lotspeich 2009
Atlantic Plain,Coastal Plain,North Carolina,0208111310,Cashie River at SR1257 near Windsor,36.047778,-76.984167,108.00,279.72,64.10,1.82,91.20,27.80,1.20,0.37,109.40,10.16,Sweet and Geratz 2003
Atlantic Plain,Coastal Plain,North Carolina,02083800,Conetoe Creek near Bethel,35.775992,-77.462192,78.10,202.28,472.00,13.37,39.00,11.89,6.20,1.89,243.00,22.58,Doll et al. xxxx
Atlantic Plain,Coastal Plain,North Carolina,02084557,Van Swamp near Hoke,35.730833,-76.746111,23.00,59.57,42.00,1.19,19.80,6.04,1.80,0.55,35.60,3.31,Sweet and Geratz 2003
Atlantic Plain,Coastal Plain,North Carolina,0208925200,Bear Creek at Mays Store,35.274722,-77.794444,57.70,149.44,241.00,6.82,47.40,14.45,4.60,1.40,218.00,20.25,Sweet and Geratz 2003
Atlantic Plain,Coastal Plain,North Carolina,02090380,Contentnea Creek near Lucama,35.691111,-78.109722,161.00,416.99,1052.00,29.79,103.00,31.39,5.50,1.68,569.00,52.86,Doll et al. xxxx
Atlantic Plain,Coastal Plain,North Carolina,0209096970,Moccasin Run near Patetown,35.479605,-77.909984,3.01,7.80,72.90,2.06,15.10,4.60,3.30,1.01,49.70,4.62,Doll et al. xxxx
Atlantic Plain,Coastal Plain,North Carolina,02091000,Nahunta Swamp near Shine,35.488889,-77.806111,80.40,208.24,371.00,10.51,46.80,14.26,5.80,1.77,271.40,25.21,Sweet and Geratz 2003
Atlantic Plain,Coastal Plain,North Carolina,02092000,Swift Creek near Vanceboro,35.345162,-77.195511,182.00,471.38,738.00,20.90,89.30,27.22,6.10,1.86,544.70,50.60,Sweet and Geratz 2003
Atlantic Plain,Coastal Plain,North Carolina,02092500,Trent River near Trenton,35.064167,-77.461389,168.00,435.12,340.00,9.63,76.00,23.16,7.90,2.41,600.40,55.78,Sweet and Geratz 2003
Atlantic Plain,Coastal Plain,North Carolina,02093000,New River near Gum Branch,34.849167,-77.519444,94.00,243.46,469.80,13.30,60.00,18.29,6.60,2.01,396.00,36.79,Sweet and Geratz 2003
Appalachian Highlands,Piedmont,North Carolina,02101800,Tick Creek near Mount Vernon Springs,35.659722,-79.401667,15.50,40.14,655.30,18.56,40.50,12.34,4.80,1.46,194.00,18.02,Harman et al. xxxxa
Atlantic Plain,Coastal Plain,North Carolina,02102908,Flat Creek near Inverness,35.182778,-79.177500,7.63,19.76,105.00,2.97,22.00,6.71,2.30,0.70,51.40,4.78,Doll et al. xxxx
Atlantic Plain,Coastal Plain,North Carolina,02104220,Rockfish Creek at Raeford,34.999722,-79.214722,93.10,241.13,174.00,4.93,42.00,12.80,3.80,1.16,159.60,14.83,Sweet and Geratz 2003
Atlantic Plain,Coastal Plain,North Carolina,02105900,Hood Creek near Leland,34.278611,-78.125278,21.60,55.94,97.30,2.76,43.70,13.32,3.00,0.91,131.10,12.18,Sweet and Geratz 2003
Atlantic Plain,Coastal Plain,North Carolina,0210783230,Herrings Marsh Run near Summerlins Crossroads,35.093776,-77.942762,2.25,5.83,28.60,0.81,11.60,3.54,1.40,0.43,16.20,1.51,Sweet and Geratz 2003
Atlantic Plain,Coastal Plain,North Carolina,0210783276,Herrings Marsh Run below SR1306 at Red Hill,35.073776,-77.913594,9.11,23.59,59.10,1.67,25.90,7.89,2.30,0.70,59.60,5.54,Sweet and Geratz 2003
Appalachian Highlands,Piedmont,North Carolina,02112360,Mitchell River near State Road,36.311389,-80.807222,78.80,204.09,2681.00,75.92,77.00,23.47,4.90,1.49,377.00,35.02,Harman et al. xxxxa
Appalachian Highlands,Piedmont,North Carolina,02113000,Fisher River near Copeland,36.341111,-80.685833,128.00,331.52,3687.00,104.40,101.00,30.78,5.70,1.74,578.00,53.70,Harman et al. xxxxa
Appalachian Highlands,Piedmont,North Carolina,02114450,Little Yadkin River at Dalton,36.299167,-80.414722,42.80,110.85,2236.00,63.32,77.50,23.62,6.10,1.86,469.00,43.57,Harman et al. xxxxa
Appalachian Highlands,Piedmont,North Carolina,02117030,Humpy Creek near Fork,35.854860,-80.439779,1.05,2.72,83.00,2.35,12.00,3.66,1.30,0.40,15.80,1.47,Harman et al. xxxxa
Appalachian Highlands,Piedmont,North Carolina,02121180,North Potts Creek at Linwood,35.757916,-80.323108,9.62,24.92,507.20,14.36,25.40,7.74,3.50,1.07,89.60,8.32,Harman et al. xxxxa
Appalachian Highlands,Piedmont,North Carolina,02123567,Dutchmans Creek near Uwharrie,35.379167,-80.030278,3.44,8.91,85.10,2.41,23.50,7.16,1.90,0.58,45.60,4.24,Harman et al. xxxxa
Appalachian Highlands,Piedmont,North Carolina,0214253830,Norwood Creek near Troutman,35.680556,-80.945278,7.18,18.60,253.70,7.18,32.00,9.75,3.10,0.94,98.80,9.18,Harman et al. xxxxa
Appalachian Highlands,Piedmont,North Carolina,02144000,Long Creek near Bessemer City,35.306389,-81.234722,31.80,82.36,1041.00,29.48,40.00,12.19,4.90,1.49,195.00,18.12,Harman et al. xxxxa
Appalachian Highlands,Piedmont,Georgia,02188500,Beaverdam Creek at Dewy Rose,34.181220,-82.943753,38.40,99.46,316.46,29.40,82.91,25.27,4.59,1.40,,35.12,Pruitt 2001
Appalachian Highlands,Piedmont,Georgia,02189500,North Fork Broad River near Toccoa,34.513711,-83.321829,18.30,47.40,134.55,12.50,78.77,24.01,2.76,0.84,,22.77,Pruitt 2001
Appalachian Highlands,Piedmont,Georgia,02191200,Hudson River at Homer,34.337604,-83.487944,60.90,157.73,155.00,14.40,60.47,18.43,2.95,0.90,,21.35,Pruitt 2001
Appalachian Highlands,Piedmont,Georgia,02199700,South Fork Ogeechee River near Crawfordville,33.516800,-82.905979,31.30,81.07,246.49,22.90,58.99,17.98,3.94,1.20,,21.22,Pruitt 2001
Appalachian Highlands,Piedmont,Georgia,02200000,Ogeechee River at GA 16 at Jewell,33.296811,-82.777637,242.00,626.78,1264.76,117.50,133.99,40.84,4.59,1.40,,93.38,Pruitt 2001
Appalachian Highlands,Piedmont,Georgia,02218300,Oconee River near Penfield,33.721234,-83.295436,940.00,2434.60,2655.03,246.66,217.42,66.27,3.61,1.10,,176.13,Pruitt 2001
Atlantic Plain,Coastal Plain,Florida,02315200,Deep Creek near Suwannee Valley,30.365503,-82.620125,88.60,229.47,398.00,11.27,33.10,10.09,5.50,1.68,183.00,17.00,Metcalf 2004
Atlantic Plain,Coastal Plain,Georgia,02317760,Little River near Ashburn,31.692402,-83.702115,8.54,22.12,23.00,0.65,23.30,7.10,1.20,0.37,27.00,2.51,Metcalf 2004
Atlantic Plain,Coastal Plain,Georgia,02317765,Newell Branch near Worth,31.739068,-83.724893,1.15,2.98,7.00,0.20,12.30,3.75,0.60,0.18,7.00,0.65,Metcalf 2004
Atlantic Plain,Coastal Plain,Georgia,02317770,Newell Branch near Ashburn,31.696291,-83.697392,6.48,16.78,17.00,0.48,21.80,6.64,0.90,0.27,19.90,1.85,Metcalf 2004
Atlantic Plain,Coastal Plain,Georgia,02317880,UT to Warrior Creek near Norman Park,31.284907,-83.682950,1.60,4.14,21.00,0.59,10.70,3.26,1.00,0.30,10.60,0.98,Metcalf 2004
Atlantic Plain,Coastal Plain,Florida,02321000,New River near Lake Butler,29.998295,-82.273999,191.00,494.69,311.00,8.81,46.50,14.17,4.50,1.37,208.70,19.39,Metcalf 2004
Atlantic Plain,Coastal Plain,Florida,02324400,Fenholloway River near Foley,30.098271,-83.471811,60.00,155.40,248.00,7.02,20.00,6.10,4.80,1.46,96.00,8.92,Metcalf 2004
Atlantic Plain,Coastal Plain,Florida,02326000,Ecofina River near Perry,30.170764,-83.823768,198.00,512.82,375.00,10.62,38.40,11.70,7.30,2.23,281.80,26.18,Metcalf 2004
Atlantic Plain,Coastal Plain,Florida,02326598,Caney Creek near Monticello,30.514647,-83.939888,2.54,6.58,30.50,0.86,13.70,4.18,2.30,0.70,31.60,2.94,Metcalf 2004
Atlantic Plain,Coastal Plain,Georgia,02327550,Barnetts Creek near Thomasville,31.025743,-84.137122,15.00,38.85,45.00,1.27,14.80,4.51,2.00,0.61,30.00,2.79,Metcalf 2004
Atlantic Plain,Coastal Plain,Georgia,02328000,Tired Creek near Cairo,30.865191,-84.262681,60.00,155.40,260.00,7.36,35.80,10.91,3.50,1.07,126.70,11.77,Metcalf 2004
Atlantic Plain,Coastal Plain,Florida,02329600,Little River near Midway,30.512419,-84.523521,305.00,789.95,1260.00,35.68,95.40,29.08,7.50,2.29,718.10,66.71,Metcalf 2004
Atlantic Plain,Coastal Plain,Florida,02359550,Bear Creek near Youngstown,30.319641,-85.455479,67.20,174.05,439.00,12.43,47.40,14.45,5.30,1.62,249.10,23.14,Metcalf 2004
Atlantic Plain,Coastal Plain,Alabama,02362240,Little Double Bridges Creek near Enterprise,31.272393,-85.958274,21.40,55.43,217.00,6.14,34.20,10.42,3.40,1.04,116.00,10.78,Metcalf 2004
Atlantic Plain,Coastal Plain,Florida,02367006,Alaqua Creek near Portland,30.556306,-86.179109,83.70,216.78,592.00,16.76,49.80,15.18,8.00,2.44,396.90,36.87,Metcalf 2004
Atlantic Plain,Coastal Plain,Florida,02367310,Juniper Creek near Niceville,30.557418,-86.519395,27.60,71.48,254.00,7.19,36.20,11.03,3.10,0.94,110.60,10.28,Metcalf 2004
Atlantic Plain,Coastal Plain,Florida,02368300,Baggett Creek near Milligan,30.727967,-86.659677,7.77,20.12,190.80,5.40,21.10,6.43,3.00,0.91,63.70,5.92,Metcalf 2004
Atlantic Plain,Coastal Plain,Florida,02368500,Shoal River near Mossy Head,30.796021,-86.306891,123.00,318.57,1310.00,37.10,59.20,18.04,6.30,1.92,374.10,34.76,Metcalf 2004
Atlantic Plain,Coastal Plain,Florida,02369000,Shoal River near Crestview,30.697413,-86.570786,474.00,1227.65,2650.00,75.04,133.30,40.63,6.60,2.01,882.00,81.94,Metcalf 2004
Atlantic Plain,Coastal Plain,Florida,02370015,Muddy Creek near Beaver Creek,30.850464,-86.781624,1.54,3.99,40.80,1.16,14.80,4.51,1.60,0.49,23.70,2.20,Metcalf 2004
Atlantic Plain,Coastal Plain,Florida,02370500,Big Coldwater Creek near Milton,30.708524,-86.972186,237.00,613.83,1330.00,37.66,116.60,35.54,4.80,1.46,564.20,52.42,Metcalf 2004
Atlantic Plain,Coastal Plain,Florida,02376300,Brushy Creek near Walnut Hill,30.889352,-87.539984,49.00,126.91,352.00,9.97,38.40,11.70,4.70,1.43,180.20,16.74,Metcalf 2004
Atlantic Plain,Coastal Plain,Alabama,02378500,Fish River near Silverhill,30.545471,-87.798601,55.30,143.23,528.00,14.95,47.70,14.54,4.90,1.49,235.90,21.92,Metcalf 2004
Appalachian Highlands,Appalachian Plateaus,New York,03010734,Ischua Creek Tributary  near Machias ,42.407841,-78.525578,5.12,13.26,90.00,2.55,37.88,11.55,1.95,0.59,73.78,6.85,Mulvihill et al. 2005a
Appalachian Highlands,Appalachian Plateaus,Pennsylvania,03011800,Kinzua Creek near Guffey,41.766451,-78.718640,38.80,100.49,890.00,25.20,62.50,19.05,2.83,0.86,177.00,16.44,Chaplin 2005
Appalachian Highlands,Appalachian Plateaus,New York,03013000,Conewango Creek at Waterboro ,42.170893,-79.069209,290.00,751.10,2820.00,79.85,153.00,46.63,3.37,1.03,479.33,44.53,Mulvihill et al. 2005a
Appalachian Highlands,Appalachian Plateaus,New York,03013800,Ball Creek at Stow,42.153668,-79.407270,9.58,24.81,580.00,16.42,71.77,21.87,1.43,0.44,102.73,9.54,Mulvihill et al. 2005a
Appalachian Highlands,Appalachian Plateaus,Pennsylvania,03021410,West Branch French Creek near Lowville,42.081722,-79.850329,52.30,135.46,980.00,27.75,63.40,19.32,5.01,1.53,312.00,28.99,Chaplin 2005
Appalachian Highlands,Appalachian Plateaus,Pennsylvania,03022540,Woodcock Creek at Blooming Valley,41.690612,-80.048112,31.10,80.55,1060.00,30.02,73.30,22.34,2.50,0.76,180.00,16.72,Chaplin 2005
Appalachian Highlands,Appalachian Plateaus,Pennsylvania,03026500,Sevenmile Run near Rasselas,41.631173,-78.576690,7.84,20.31,250.00,7.08,35.80,10.91,2.29,0.70,80.80,7.51,Chaplin 2005
Appalachian Highlands,Appalachian Plateaus,Pennsylvania,03028000,West Branch Clarion River at Wilcox,41.575340,-78.692249,63.00,163.17,1790.00,50.69,97.20,29.63,2.96,0.90,315.00,29.26,Chaplin 2005
Appalachian Highlands,Appalachian Plateaus,Pennsylvania,03034500,Little Mahoning Creek at McCormick,40.836176,-79.110036,87.40,226.36,2093.00,59.27,100.00,30.48,5.10,1.55,513.00,47.66,Chaplin 2005
Appalachian Highlands,Appalachian Plateaus,Pennsylvania,03039925,North Fork Bens Creek at North Fork,40.266186,-79.016694,3.45,8.94,71.70,2.03,27.30,8.32,1.24,0.38,33.80,3.14,Chaplin 2005
Appalachian Highlands,Appalachian Plateaus,Pennsylvania,03049000,Buffalo Creek near Freeport,40.715898,-79.699494,137.00,354.83,2820.00,79.85,112.00,34.14,4.80,1.46,538.00,49.98,Chaplin 2005
Appalachian Highlands,Appalachian Plateaus,Pennsylvania,03049800,Little Pine Creek near Etna,40.520346,-79.938108,5.78,14.97,203.00,5.75,18.00,5.49,1.82,0.55,32.60,3.03,Chaplin 2005
Appalachian Highlands,Appalachian Plateaus,West Virginia,03052000,Middle Fork at Audra,39.039545,-80.068135,148.00,383.32,3600.00,101.94,147.00,44.81,4.37,1.33,644.00,59.83,Messinger 2009
Appalachian Highlands,Appalachian Plateaus,West Virginia,03052500,Sand Run near Buckhannon,38.963989,-80.152581,14.30,37.04,400.00,11.33,51.30,15.64,1.80,0.55,92.00,8.55,Messinger 2009
Appalachian Highlands,Appalachian Plateaus,West Virginia,03066000,Blackwater River at Davis,39.127052,-79.468385,85.90,222.48,1630.00,46.16,109.00,33.22,5.61,1.71,612.00,56.86,Messinger 2009
Appalachian Highlands,Appalachian Plateaus,West Virginia,03070500,Big Sandy Creek near Rockville,39.621750,-79.704556,200.00,518.00,7430.00,210.39,164.00,49.99,5.30,1.62,871.00,80.92,Messinger 2009
Appalachian Highlands,Appalachian Plateaus,Pennsylvania,03072880,Browns Creek near Nineveh,39.940630,-80.288955,17.50,45.32,600.00,16.99,57.50,17.53,3.04,0.93,174.00,16.17,Chaplin 2005
Appalachian Highlands,Appalachian Plateaus,Maryland,03075600,Toliver Run tributary near Hoyes Run,39.494258,-79.420321,0.53,1.37,24.00,0.68,9.60,2.93,0.80,0.24,7.20,0.67,"McCandless 2003a, McCandless 2003b"
Appalachian Highlands,Appalachian Plateaus,Maryland,03076505,Youghiogheny River tributary near Friendsville,39.663415,-79.428095,0.22,0.57,7.00,0.20,9.70,2.96,0.80,0.24,7.30,0.68,"McCandless 2003a, McCandless 2003b"
Appalachian Highlands,Appalachian Plateaus,Maryland,03076600,Bear Creek at Friendsville,39.656139,-79.394111,48.90,126.65,1132.00,32.05,69.20,21.09,3.00,0.91,208.00,19.32,"McCandless 2003a, McCandless 2003b"
Appalachian Highlands,Appalachian Plateaus,Maryland,03078000,Casselman River at Grantsville,39.702194,-79.136389,62.50,161.87,1689.00,47.83,125.80,38.34,3.20,0.98,402.30,37.37,"McCandless 2003a, McCandless 2003b"
